AB,C,D,E,F,G,H,I,J,K,L
0x04922C0000,"0x0343","0x0004","0x0000","0x0000","B","0x122C","0x0000","0x0000","0x0051","0x01C1","0x0638"
0x04922D0000,"0x0344","0x0004","0x0000","0x0000","B","0x122D","0x0000","0x0000","0x0051","0x01C2","0x0639"
0x04922E0000,"0x0345","0x0004","0x0000","0x0000","B","0x122E","0x0000","0x0000","0x0051","0x01C3","0x063A"
0x04922F0000,"0x0346","0x0004","0x0000","0x0000","B","0x122F","0x0000","0x0000","0x0051","0x01C4","0x063B"
0x04923A0000,"0x0347","0x0004","0x0000","0x0000","B","0x123A","0x0000","0x0000","0x0051","0x01C5","0x0656"
0x04923B0000,"0x0348","0x0004","0x0000","0x0000","B","0x123B","0x0000","0x0000","0x0051","0x01C6","0x0657"
0x04D2910000,"0x0349","0x0004","0x0000","0x0000","U","0x1291","0x0000","0x0000","0x0051","0x0244","0xAD85"
0x04A98A0000,"0x034A","0x0004","0x0000","0x0000","B","0x298A","0x0000","0x0000","0x0051","0x020D","0x0F20"
0x04923C0000,"0x034B","0x0004","0x0000","0x0000","B","0x123C","0x0000","0x0000","0x0051","0x01C7","0x0658"
0x04923D0000,"0x034C","0x0004","0x0000","0x0000","B","0x123D","0x0000","0x0000","0x0051","0x01C8","0x0659"
0x04923E0000,"0x034D","0x0004","0x0000","0x0000","B","0x123E","0x0000","0x0000","0x0051","0x01C9","0x065A"
0x04A9690001,"0x034E","0x0004","0x0000","0x0000","B","0x2969","0x0000","0x0000","0x0051","0x01EB","0x0EFE"
0x04A9700001,"0x034F","0x0004","0x0000","0x0000","B","0x2970","0x0000","0x0000","0x0051","0x01F3","0x0F06"
0x04A9710000,"0x0350","0x0004","0x0000","0x0000","B","0x2971","0x0000","0x0000","0x0051","0x01F4","0x0F07"
0x04A9720000,"0x0351","0x0004","0x0000","0x0000","B","0x2972","0x0000","0x0000","0x0051","0x01F5","0x0F08"
