AB,C,D,E,F,G,H,I,J,K,L
0x560A4D0100,"0x2261","0x0056","0x0000","0x0000","P","0x0A4D","0x0000","0x0001","0x03E7","0x41B4","0x80CC"
0x560A700100,"0x2262","0x0056","0x0000","0x0000","P","0x0A70","0x0000","0x0001","0x03E7","0x41B5","0x810B"
0x560A710100,"0x2263","0x0056","0x0000","0x0000","P","0x0A71","0x0000","0x0001","0x03E7","0x41B6","0x810F"
0x560A730100,"0x2264","0x0056","0x0000","0x0000","P","0x0A73","0x0000","0x0001","0x03E7","0x41B7","0x8113"
0x560A740100,"0x2265","0x0056","0x0000","0x0000","P","0x0A74","0x0000","0x0001","0x03E7","0x41B8","0x8117"
0x560A760100,"0x2266","0x0056","0x0000","0x0000","P","0x0A76","0x0000","0x0001","0x03E7","0x41B9","0x811B"
0x560A770100,"0x2267","0x0056","0x0000","0x0000","P","0x0A77","0x0000","0x0001","0x03E7","0x41BA","0x811F"
0x560A780100,"0x2268","0x0056","0x0000","0x0000","P","0x0A78","0x0000","0x0001","0x03E7","0x41BB","0x8124"
0x560A7A0100,"0x2269","0x0056","0x0000","0x0000","P","0x0A7A","0x0000","0x0001","0x03E7","0x41BC","0x812C"
0x560BCC0100,"0x226A","0x0056","0x0000","0x0000","P","0x0BCC","0x0000","0x0001","0x03E7","0x41BD","0x8216"
0x560BCE0100,"0x226B","0x0056","0x0000","0x0000","P","0x0BCE","0x0000","0x0001","0x03E7","0x41BE","0x821A"
0x560BCF0100,"0x226C","0x0056","0x0000","0x0000","P","0x0BCF","0x0000","0x0001","0x03E7","0x41BF","0x821C"
0x560DFA0100,"0x226D","0x0056","0x0000","0x0000","P","0x0DFA","0x0000","0x0001","0x03E7","0x41C0","0x82AE"
0x560DFB0100,"0x226E","0x0056","0x0000","0x0000","P","0x0DFB","0x0000","0x0001","0x03E7","0x41C1","0x82B2"
0x560E010100,"0x226F","0x0056","0x0000","0x0000","P","0x0E01","0x0000","0x0001","0x03E7","0x41C2","0x82B6"
0x560E050100,"0x2270","0x0056","0x0000","0x0000","P","0x0E05","0x0000","0x0001","0x03E7","0x41C3","0x82BA"
0x560E090100,"0x2271","0x0056","0x0000","0x0000","P","0x0E09","0x0000","0x0001","0x03E7","0x41C4","0x82BE"
0x561D000100,"0x2272","0x0056","0x0000","0x0000","P","0x1D00","0x0000","0x0001","0x03E7","0x41C5","0x8452"
0x561D020100,"0x2273","0x0056","0x0000","0x0000","P","0x1D02","0x0000","0x0001","0x03E7","0x41C6","0x845C"
0x561D740100,"0x2274","0x0056","0x0000","0x0000","P","0x1D74","0x0000","0x0001","0x03E7","0x41C7","0x84C7"
0x561D750100,"0x2275","0x0056","0x0000","0x0000","P","0x1D75","0x0000","0x0001","0x03E7","0x41C8","0x84CB"
0x561D770100,"0x2276","0x0056","0x0000","0x0000","P","0x1D77","0x0000","0x0001","0x03E7","0x41C9","0x84CF"
0x561D780100,"0x2277","0x0056","0x0000","0x0000","P","0x1D78","0x0000","0x0001","0x03E7","0x41CA","0x84D3"
0x561D790100,"0x2278","0x0056","0x0000","0x0000","P","0x1D79","0x0000","0x0001","0x03E7","0x41CB","0x84D8"
0x561D7F0100,"0x2279","0x0056","0x0000","0x0000","P","0x1D7F","0x0000","0x0001","0x03E7","0x41CC","0x84EA"
0x561D800100,"0x227A","0x0056","0x0000","0x0000","P","0x1D80","0x0000","0x0001","0x03E7","0x41CD","0x84EC"
0x561D810100,"0x227B","0x0056","0x0000","0x0000","P","0x1D81","0x0000","0x0001","0x03E7","0x41CE","0x84F0"
0x561D820100,"0x227C","0x0056","0x0000","0x0000","P","0x1D82","0x0000","0x0001","0x03E7","0x41CF","0x84F4"
0x561D830100,"0x227D","0x0056","0x0000","0x0000","P","0x1D83","0x0000","0x0001","0x03E7","0x41D0","0x84F8"
0x561D840100,"0x227E","0x0056","0x0000","0x0000","P","0x1D84","0x0000","0x0001","0x03E7","0x41D1","0x84FC"
0x561D850100,"0x227F","0x0056","0x0000","0x0000","P","0x1D85","0x0000","0x0001","0x03E7","0x41D2","0x8500"
0x561D860100,"0x2280","0x0056","0x0000","0x0000","P","0x1D86","0x0000","0x0001","0x03E7","0x41D3","0x8504"
0x561D8A0100,"0x2281","0x0056","0x0000","0x0000","P","0x1D8A","0x0000","0x0001","0x03E7","0x41D4","0x850C"
0x561D8C0100,"0x2282","0x0056","0x0000","0x0000","P","0x1D8C","0x0000","0x0001","0x03E7","0x41D5","0x8511"
0x561D8D0100,"0x2283","0x0056","0x0000","0x0000","P","0x1D8D","0x0000","0x0001","0x03E7","0x41D6","0x8515"
0x561D960100,"0x2284","0x0056","0x0000","0x0000","P","0x1D96","0x0000","0x0001","0x03E7","0x41D7","0x852A"
0x561D970100,"0x2285","0x0056","0x0000","0x0000","P","0x1D97","0x0000","0x0001","0x03E7","0x41D8","0x852D"
0x561D9D0100,"0x2286","0x0056","0x0000","0x0000","P","0x1D9D","0x0000","0x0001","0x03E7","0x41D9","0x8537"
0x561DA00100,"0x2287","0x0056","0x0000","0x0000","P","0x1DA0","0x0000","0x0001","0x03E7","0x41DA","0x853B"
0x561DA10100,"0x2288","0x0056","0x0000","0x0000","P","0x1DA1","0x0000","0x0001","0x03E7","0x41DB","0x853D"
0x561DA20100,"0x2289","0x0056","0x0000","0x0000","P","0x1DA2","0x0000","0x0001","0x03E7","0x41DC","0x853F"
0x561DA30100,"0x228A","0x0056","0x0000","0x0000","P","0x1DA3","0x0000","0x0001","0x03E7","0x41DD","0x8541"
0x561DA40100,"0x228B","0x0056","0x0000","0x0000","P","0x1DA4","0x0000","0x0001","0x03E7","0x41DE","0x8543"
0x561DA50100,"0x228C","0x0056","0x0000","0x0000","P","0x1DA5","0x0000","0x0001","0x03E7","0x41DF","0x8545"
0x561DA60100,"0x228D","0x0056","0x0000","0x0000","P","0x1DA6","0x0000","0x0001","0x03E7","0x41E0","0x8547"
0x561DA70100,"0x228E","0x0056","0x0000","0x0000","P","0x1DA7","0x0000","0x0001","0x03E7","0x41E1","0x8549"
0x561DA80100,"0x228F","0x0056","0x0000","0x0000","P","0x1DA8","0x0000","0x0001","0x03E7","0x41E2","0x854B"
0x561DA90100,"0x2290","0x0056","0x0000","0x0000","P","0x1DA9","0x0000","0x0001","0x03E7","0x41E3","0x854D"
0x561DAA0100,"0x2291","0x0056","0x0000","0x0000","P","0x1DAA","0x0000","0x0001","0x03E7","0x41E4","0x854F"
0x561F200100,"0x2292","0x0056","0x0000","0x0000","P","0x1F20","0x0000","0x0001","0x03E7","0x41E5","0x85C9"
0x561F3C0100,"0x2293","0x0056","0x0000","0x0000","P","0x1F3C","0x0000","0x0001","0x03E7","0x41E6","0x85FC"
0x56C0290100,"0x2294","0x0056","0x0000","0x0000","U","0x0029","0x0000","0x0001","0x03E7","0x4218","0xAA49"
0x56C0380100,"0x2295","0x0056","0x0000","0x0000","U","0x0038","0x0000","0x0001","0x03E7","0x4219","0xAA67"
0x56C1000100,"0x2296","0x0056","0x0000","0x0000","U","0x0100","0x0000","0x0001","0x03E7","0x421A","0xAAA8"
0x56C1110100,"0x2297","0x0056","0x0000","0x0000","U","0x0111","0x0000","0x0001","0x03E7","0x421B","0xAAF6"
0x56C1460100,"0x2298","0x0056","0x0000","0x0000","U","0x0146","0x0000","0x0001","0x03E7","0x421C","0xAB84"
0x56D2040100,"0x2299","0x0056","0x0000","0x0000","U","0x1204","0x0000","0x0001","0x03E7","0x421D","0xAC9E"
0x56D2060100,"0x229A","0x0056","0x0000","0x0000","U","0x1206","0x0000","0x0001","0x03E7","0x421E","0xACB7"
0x5705620000,"0x229B","0x0057","0x0000","0x0000","P","0x0562","0x0000","0x0000","0x03E7","0x47D6","0x7EE9"
0x5706020000,"0x229C","0x0057","0x0000","0x0000","P","0x0602","0x0000","0x0000","0x03E7","0x47D7","0x7F13"
0x57061B0000,"0x229D","0x0057","0x0000","0x0000","P","0x061B","0x0000","0x0000","0x03E7","0x47D8","0x7F34"
0x57062F0000,"0x229E","0x0057","0x0000","0x0000","P","0x062F","0x0000","0x0000","0x03E7","0x47D9","0x7F4A"
0x5706B10000,"0x229F","0x0057","0x0000","0x0000","P","0x06B1","0x0000","0x0000","0x03E7","0x47DA","0x7F9A"
0x5706B40000,"0x22A0","0x0057","0x0000","0x0000","P","0x06B4","0x0000","0x0000","0x03E7","0x47DB","0x7FA7"
0x5706E70000,"0x22A1","0x0057","0x0000","0x0000","P","0x06E7","0x0000","0x0000","0x03E7","0x47DC","0x7FB6"
0x5707120000,"0x22A2","0x0057","0x0000","0x0000","P","0x0712","0x0000","0x0000","0x03E7","0x47DD","0x7FC6"
0x5707130000,"0x22A3","0x0057","0x0000","0x0000","P","0x0713","0x0000","0x0000","0x03E7","0x47DE","0x7FC9"
0x5707140000,"0x22A4","0x0057","0x0000","0x0000","P","0x0714","0x0000","0x0000","0x03E7","0x47DF","0x7FCC"
0x570A010000,"0x22A5","0x0057","0x0000","0x0000","P","0x0A01","0x0000","0x0000","0x03E7","0x47E0","0x8061"
0x570A020000,"0x22A6","0x0057","0x0000","0x0000","P","0x0A02","0x0000","0x0000","0x03E7","0x47E1","0x8064"
0x570A030000,"0x22A7","0x0057","0x0000","0x0000","P","0x0A03","0x0000","0x0000","0x03E7","0x47E2","0x8069"
0x570A1A0000,"0x22A8","0x0057","0x0000","0x0000","P","0x0A1A","0x0000","0x0000","0x03E7","0x47E3","0x8077"
0x570A1B0000,"0x22A9","0x0057","0x0000","0x0000","P","0x0A1B","0x0000","0x0000","0x03E7","0x47E4","0x807F"
0x570A2B0000,"0x22AA","0x0057","0x0000","0x0000","P","0x0A2B","0x0000","0x0000","0x03E7","0x47E5","0x808B"
0x570A2C0000,"0x22AB","0x0057","0x0000","0x0000","P","0x0A2C","0x0000","0x0000","0x03E7","0x47E6","0x808F"
0x570A2D0000,"0x22AC","0x0057","0x0000","0x0000","P","0x0A2D","0x0000","0x0000","0x03E7","0x47E7","0x8093"
0x570A2F0000,"0x22AD","0x0057","0x0000","0x0000","P","0x0A2F","0x0000","0x0000","0x03E7","0x47E8","0x8096"
0x570A370000,"0x22AE","0x0057","0x0000","0x0000","P","0x0A37","0x0000","0x0000","0x03E7","0x47E9","0x8099"
0x570A3C0000,"0x22AF","0x0057","0x0000","0x0000","P","0x0A3C","0x0000","0x0000","0x03E7","0x47EA","0x80A8"
0x570A3F0000,"0x22B0","0x0057","0x0000","0x0000","P","0x0A3F","0x0000","0x0000","0x03E7","0x47EB","0x80B6"
0x570A400000,"0x22B1","0x0057","0x0000","0x0000","P","0x0A40","0x0000","0x0000","0x03E7","0x47EC","0x80BC"
0x570A410000,"0x22B2","0x0057","0x0000","0x0000","P","0x0A41","0x0000","0x0000","0x03E7","0x47ED","0x80C0"
0x570A5E0000,"0x22B3","0x0057","0x0000","0x0000","P","0x0A5E","0x0000","0x0000","0x03E7","0x47EE","0x80D2"
0x570A5F0000,"0x22B4","0x0057","0x0000","0x0000","P","0x0A5F","0x0000","0x0000","0x03E7","0x47EF","0x80DA"
0x570A610000,"0x22B5","0x0057","0x0000","0x0000","P","0x0A61","0x0000","0x0000","0x03E7","0x47F0","0x80E2"
0x570A620000,"0x22B6","0x0057","0x0000","0x0000","P","0x0A62","0x0000","0x0000","0x03E7","0x47F1","0x80EA"
0x570A640000,"0x22B7","0x0057","0x0000","0x0000","P","0x0A64","0x0000","0x0000","0x03E7","0x47F2","0x80F2"
0x570A650000,"0x22B8","0x0057","0x0000","0x0000","P","0x0A65","0x0000","0x0000","0x03E7","0x47F3","0x80FA"
0x570A780000,"0x22B9","0x0057","0x0000","0x0000","P","0x0A78","0x0000","0x0000","0x03E7","0x47F4","0x8125"
0x570A7A0000,"0x22BA","0x0057","0x0000","0x0000","P","0x0A7A","0x0000","0x0000","0x03E7","0x47F5","0x812D"
0x570AED0000,"0x22BB","0x0057","0x0000","0x0000","P","0x0AED","0x0000","0x0000","0x03E7","0x47F6","0x81D2"
0x570AEF0000,"0x22BC","0x0057","0x0000","0x0000","P","0x0AEF","0x0000","0x0000","0x03E7","0x47F7","0x81DB"
0x570AF00000,"0x22BD","0x0057","0x0000","0x0000","P","0x0AF0","0x0000","0x0000","0x03E7","0x47F8","0x81DF"
0x570BE60000,"0x22BE","0x0057","0x0000","0x0000","P","0x0BE6","0x0000","0x0000","0x03E7","0x47F9","0x8225"
0x570BEA0000,"0x22BF","0x0057","0x0000","0x0000","P","0x0BEA","0x0000","0x0000","0x03E7","0x47FA","0x822D"
0x570BEE0000,"0x22C0","0x0057","0x0000","0x0000","P","0x0BEE","0x0000","0x0000","0x03E7","0x47FB","0x8235"
0x570BFD0000,"0x22C1","0x0057","0x0000","0x0000","P","0x0BFD","0x0000","0x0000","0x03E7","0x47FC","0x8242"
0x570C4E0000,"0x22C2","0x0057","0x0000","0x0000","P","0x0C4E","0x0000","0x0000","0x03E7","0x47FD","0x825D"
0x570CE90000,"0x22C3","0x0057","0x0000","0x0000","P","0x0CE9","0x0000","0x0000","0x03E7","0x47FE","0x8276"
0x570CEA0000,"0x22C4","0x0057","0x0000","0x0000","P","0x0CEA","0x0000","0x0000","0x03E7","0x47FF","0x8278"
0x570CED0000,"0x22C5","0x0057","0x0000","0x0000","P","0x0CED","0x0000","0x0000","0x03E7","0x4800","0x827B"
0x5714370000,"0x22C6","0x0057","0x0000","0x0000","P","0x1437","0x0000","0x0000","0x03E7","0x4801","0x830A"
0x5714400000,"0x22C7","0x0057","0x0000","0x0000","P","0x1440","0x0000","0x0000","0x03E7","0x4802","0x8313"
0x5715A50000,"0x22C8","0x0057","0x0000","0x0000","P","0x15A5","0x0000","0x0000","0x03E7","0x4803","0x834D"
0x571A540000,"0x22C9","0x0057","0x0000","0x0000","P","0x1A54","0x0000","0x0000","0x03E7","0x4804","0x842F"
0x571A550000,"0x22CA","0x0057","0x0000","0x0000","P","0x1A55","0x0000","0x0000","0x03E7","0x4805","0x8433"
0x571A560000,"0x22CB","0x0057","0x0000","0x0000","P","0x1A56","0x0000","0x0000","0x03E7","0x4806","0x8437"
0x571A570000,"0x22CC","0x0057","0x0000","0x0000","P","0x1A57","0x0000","0x0000","0x03E7","0x4807","0x843B"
0x571D000000,"0x22CD","0x0057","0x0000","0x0000","P","0x1D00","0x0000","0x0000","0x03E7","0x4808","0x8453"
0x571D020000,"0x22CE","0x0057","0x0000","0x0000","P","0x1D02","0x0000","0x0000","0x03E7","0x4809","0x845D"
0x571D6E0000,"0x22CF","0x0057","0x0000","0x0000","P","0x1D6E","0x0000","0x0000","0x03E7","0x480A","0x84BC"
0x571D6F0000,"0x22D0","0x0057","0x0000","0x0000","P","0x1D6F","0x0000","0x0000","0x03E7","0x480B","0x84BD"
0x571D700000,"0x22D1","0x0057","0x0000","0x0000","P","0x1D70","0x0000","0x0000","0x03E7","0x480C","0x84BF"
0x571D720000,"0x22D2","0x0057","0x0000","0x0000","P","0x1D72","0x0000","0x0000","0x03E7","0x480D","0x84C2"
0x571D730000,"0x22D3","0x0057","0x0000","0x0000","P","0x1D73","0x0000","0x0000","0x03E7","0x480E","0x84C5"
0x571D780000,"0x22D4","0x0057","0x0000","0x0000","P","0x1D78","0x0000","0x0000","0x03E7","0x480F","0x84D4"
0x571D790000,"0x22D5","0x0057","0x0000","0x0000","P","0x1D79","0x0000","0x0000","0x03E7","0x4810","0x84D9"
0x571D7A0000,"0x22D6","0x0057","0x0000","0x0000","P","0x1D7A","0x0000","0x0000","0x03E7","0x4811","0x84DC"
0x571D7B0000,"0x22D7","0x0057","0x0000","0x0000","P","0x1D7B","0x0000","0x0000","0x03E7","0x4812","0x84DF"
0x571D7C0000,"0x22D8","0x0057","0x0000","0x0000","P","0x1D7C","0x0000","0x0000","0x03E7","0x4813","0x84E2"
0x571D7D0000,"0x22D9","0x0057","0x0000","0x0000","P","0x1D7D","0x0000","0x0000","0x03E7","0x4814","0x84E5"
0x571D7E0000,"0x22DA","0x0057","0x0000","0x0000","P","0x1D7E","0x0000","0x0000","0x03E7","0x4815","0x84E8"
0x571D7F0000,"0x22DB","0x0057","0x0000","0x0000","P","0x1D7F","0x0000","0x0000","0x03E7","0x4816","0x84EB"
0x571D800000,"0x22DC","0x0057","0x0000","0x0000","P","0x1D80","0x0000","0x0000","0x03E7","0x4817","0x84ED"
0x571D810000,"0x22DD","0x0057","0x0000","0x0000","P","0x1D81","0x0000","0x0000","0x03E7","0x4818","0x84F1"
0x571D820000,"0x22DE","0x0057","0x0000","0x0000","P","0x1D82","0x0000","0x0000","0x03E7","0x4819","0x84F5"
0x571D830000,"0x22DF","0x0057","0x0000","0x0000","P","0x1D83","0x0000","0x0000","0x03E7","0x481A","0x84F9"
0x571D840000,"0x22E0","0x0057","0x0000","0x0000","P","0x1D84","0x0000","0x0000","0x03E7","0x481B","0x84FD"
0x571D850000,"0x22E1","0x0057","0x0000","0x0000","P","0x1D85","0x0000","0x0000","0x03E7","0x481C","0x8501"
0x571D860000,"0x22E2","0x0057","0x0000","0x0000","P","0x1D86","0x0000","0x0000","0x03E7","0x481D","0x8505"
0x571D920000,"0x22E3","0x0057","0x0000","0x0000","P","0x1D92","0x0000","0x0000","0x03E7","0x481E","0x851E"
0x571D930000,"0x22E4","0x0057","0x0000","0x0000","P","0x1D93","0x0000","0x0000","0x03E7","0x481F","0x8523"
0x571D990000,"0x22E5","0x0057","0x0000","0x0000","P","0x1D99","0x0000","0x0000","0x03E7","0x4820","0x8531"
0x571D9A0000,"0x22E6","0x0057","0x0000","0x0000","P","0x1D9A","0x0000","0x0000","0x03E7","0x4821","0x8534"
0x57C0290000,"0x22E7","0x0057","0x0000","0x0000","U","0x0029","0x0000","0x0000","0x03E7","0x4822","0xAA4A"
0x57C0380000,"0x22E8","0x0057","0x0000","0x0000","U","0x0038","0x0000","0x0000","0x03E7","0x4823","0xAA68"
0x57C1000000,"0x22E9","0x0057","0x0000","0x0000","U","0x0100","0x0000","0x0000","0x03E7","0x4824","0xAAA9"
0x57C1110000,"0x22EA","0x0057","0x0000","0x0000","U","0x0111","0x0000","0x0000","0x03E7","0x4825","0xAAF7"
0x57C1460000,"0x22EB","0x0057","0x0000","0x0000","U","0x0146","0x0000","0x0000","0x03E7","0x4826","0xAB85"
0x57C3110000,"0x22EC","0x0057","0x0000","0x0000","U","0x0311","0x0000","0x0000","0x03E7","0x4827","0xAC13"
0x57D2040000,"0x22ED","0x0057","0x0000","0x0000","U","0x1204","0x0000","0x0000","0x03E7","0x4828","0xAC9F"
0x57D2060000,"0x22EE","0x0057","0x0000","0x0000","U","0x1206","0x0000","0x0000","0x03E7","0x4829","0xACB8"
0x5705620100,"0x22EF","0x0057","0x0000","0x0000","P","0x0562","0x0000","0x0001","0x03E7","0x47D6","0x7EE9"
0x5706020100,"0x22F0","0x0057","0x0000","0x0000","P","0x0602","0x0000","0x0001","0x03E7","0x47D7","0x7F13"
0x57061B0100,"0x22F1","0x0057","0x0000","0x0000","P","0x061B","0x0000","0x0001","0x03E7","0x47D8","0x7F34"
0x57062F0100,"0x22F2","0x0057","0x0000","0x0000","P","0x062F","0x0000","0x0001","0x03E7","0x47D9","0x7F4A"
0x5706B10100,"0x22F3","0x0057","0x0000","0x0000","P","0x06B1","0x0000","0x0001","0x03E7","0x47DA","0x7F9A"
0x5706B40100,"0x22F4","0x0057","0x0000","0x0000","P","0x06B4","0x0000","0x0001","0x03E7","0x47DB","0x7FA7"
0x5706E70100,"0x22F5","0x0057","0x0000","0x0000","P","0x06E7","0x0000","0x0001","0x03E7","0x47DC","0x7FB6"
0x5707120100,"0x22F6","0x0057","0x0000","0x0000","P","0x0712","0x0000","0x0001","0x03E7","0x47DD","0x7FC6"
0x5707130100,"0x22F7","0x0057","0x0000","0x0000","P","0x0713","0x0000","0x0001","0x03E7","0x47DE","0x7FC9"
0x5707140100,"0x22F8","0x0057","0x0000","0x0000","P","0x0714","0x0000","0x0001","0x03E7","0x47DF","0x7FCC"
0x570A010100,"0x22F9","0x0057","0x0000","0x0000","P","0x0A01","0x0000","0x0001","0x03E7","0x47E0","0x8061"
0x570A020100,"0x22FA","0x0057","0x0000","0x0000","P","0x0A02","0x0000","0x0001","0x03E7","0x47E1","0x8064"
0x570A030100,"0x22FB","0x0057","0x0000","0x0000","P","0x0A03","0x0000","0x0001","0x03E7","0x47E2","0x8069"
0x570A1A0100,"0x22FC","0x0057","0x0000","0x0000","P","0x0A1A","0x0000","0x0001","0x03E7","0x47E3","0x8077"
0x570A1B0100,"0x22FD","0x0057","0x0000","0x0000","P","0x0A1B","0x0000","0x0001","0x03E7","0x47E4","0x807F"
0x570A2B0100,"0x22FE","0x0057","0x0000","0x0000","P","0x0A2B","0x0000","0x0001","0x03E7","0x47E5","0x808B"
0x570A2C0100,"0x22FF","0x0057","0x0000","0x0000","P","0x0A2C","0x0000","0x0001","0x03E7","0x47E6","0x808F"
0x570A2D0100,"0x2300","0x0057","0x0000","0x0000","P","0x0A2D","0x0000","0x0001","0x03E7","0x47E7","0x8093"
0x570A2F0100,"0x2301","0x0057","0x0000","0x0000","P","0x0A2F","0x0000","0x0001","0x03E7","0x47E8","0x8096"
0x570A370100,"0x2302","0x0057","0x0000","0x0000","P","0x0A37","0x0000","0x0001","0x03E7","0x47E9","0x8099"
0x570A3C0100,"0x2303","0x0057","0x0000","0x0000","P","0x0A3C","0x0000","0x0001","0x03E7","0x47EA","0x80A8"
0x570A3F0100,"0x2304","0x0057","0x0000","0x0000","P","0x0A3F","0x0000","0x0001","0x03E7","0x47EB","0x80B6"
0x570A400100,"0x2305","0x0057","0x0000","0x0000","P","0x0A40","0x0000","0x0001","0x03E7","0x47EC","0x80BC"
0x570A410100,"0x2306","0x0057","0x0000","0x0000","P","0x0A41","0x0000","0x0001","0x03E7","0x47ED","0x80C0"
0x570A5E0100,"0x2307","0x0057","0x0000","0x0000","P","0x0A5E","0x0000","0x0001","0x03E7","0x47EE","0x80D2"
0x570A5F0100,"0x2308","0x0057","0x0000","0x0000","P","0x0A5F","0x0000","0x0001","0x03E7","0x47EF","0x80DA"
0x570A610100,"0x2309","0x0057","0x0000","0x0000","P","0x0A61","0x0000","0x0001","0x03E7","0x47F0","0x80E2"
0x570A620100,"0x230A","0x0057","0x0000","0x0000","P","0x0A62","0x0000","0x0001","0x03E7","0x47F1","0x80EA"
0x570A640100,"0x230B","0x0057","0x0000","0x0000","P","0x0A64","0x0000","0x0001","0x03E7","0x47F2","0x80F2"
0x570A650100,"0x230C","0x0057","0x0000","0x0000","P","0x0A65","0x0000","0x0001","0x03E7","0x47F3","0x80FA"
0x570A780100,"0x230D","0x0057","0x0000","0x0000","P","0x0A78","0x0000","0x0001","0x03E7","0x47F4","0x8125"
0x570A7A0100,"0x230E","0x0057","0x0000","0x0000","P","0x0A7A","0x0000","0x0001","0x03E7","0x47F5","0x812D"
0x570AED0100,"0x230F","0x0057","0x0000","0x0000","P","0x0AED","0x0000","0x0001","0x03E7","0x47F6","0x81D2"
0x570AEF0100,"0x2310","0x0057","0x0000","0x0000","P","0x0AEF","0x0000","0x0001","0x03E7","0x47F7","0x81DB"
0x570AF00100,"0x2311","0x0057","0x0000","0x0000","P","0x0AF0","0x0000","0x0001","0x03E7","0x47F8","0x81DF"
0x570BE60100,"0x2312","0x0057","0x0000","0x0000","P","0x0BE6","0x0000","0x0001","0x03E7","0x47F9","0x8225"
0x570BEA0100,"0x2313","0x0057","0x0000","0x0000","P","0x0BEA","0x0000","0x0001","0x03E7","0x47FA","0x822D"
0x570BEE0100,"0x2314","0x0057","0x0000","0x0000","P","0x0BEE","0x0000","0x0001","0x03E7","0x47FB","0x8235"
0x570BFD0100,"0x2315","0x0057","0x0000","0x0000","P","0x0BFD","0x0000","0x0001","0x03E7","0x47FC","0x8242"
0x570C4E0100,"0x2316","0x0057","0x0000","0x0000","P","0x0C4E","0x0000","0x0001","0x03E7","0x47FD","0x825D"
0x570CE90100,"0x2317","0x0057","0x0000","0x0000","P","0x0CE9","0x0000","0x0001","0x03E7","0x47FE","0x8276"
0x570CEA0100,"0x2318","0x0057","0x0000","0x0000","P","0x0CEA","0x0000","0x0001","0x03E7","0x47FF","0x8278"
0x570CED0100,"0x2319","0x0057","0x0000","0x0000","P","0x0CED","0x0000","0x0001","0x03E7","0x4800","0x827B"
0x5714370100,"0x231A","0x0057","0x0000","0x0000","P","0x1437","0x0000","0x0001","0x03E7","0x4801","0x830A"
0x5714400100,"0x231B","0x0057","0x0000","0x0000","P","0x1440","0x0000","0x0001","0x03E7","0x4802","0x8313"
0x5715A50100,"0x231C","0x0057","0x0000","0x0000","P","0x15A5","0x0000","0x0001","0x03E7","0x4803","0x834D"
0x571A540100,"0x231D","0x0057","0x0000","0x0000","P","0x1A54","0x0000","0x0001","0x03E7","0x4804","0x842F"
0x571A550100,"0x231E","0x0057","0x0000","0x0000","P","0x1A55","0x0000","0x0001","0x03E7","0x4805","0x8433"
0x571A560100,"0x231F","0x0057","0x0000","0x0000","P","0x1A56","0x0000","0x0001","0x03E7","0x4806","0x8437"
0x571A570100,"0x2320","0x0057","0x0000","0x0000","P","0x1A57","0x0000","0x0001","0x03E7","0x4807","0x843B"
0x571D000100,"0x2321","0x0057","0x0000","0x0000","P","0x1D00","0x0000","0x0001","0x03E7","0x4808","0x8453"
0x571D020100,"0x2322","0x0057","0x0000","0x0000","P","0x1D02","0x0000","0x0001","0x03E7","0x4809","0x845D"
0x571D6E0100,"0x2323","0x0057","0x0000","0x0000","P","0x1D6E","0x0000","0x0001","0x03E7","0x480A","0x84BC"
0x571D6F0100,"0x2324","0x0057","0x0000","0x0000","P","0x1D6F","0x0000","0x0001","0x03E7","0x480B","0x84BD"
0x571D700100,"0x2325","0x0057","0x0000","0x0000","P","0x1D70","0x0000","0x0001","0x03E7","0x480C","0x84BF"
0x571D720100,"0x2326","0x0057","0x0000","0x0000","P","0x1D72","0x0000","0x0001","0x03E7","0x480D","0x84C2"
0x571D730100,"0x2327","0x0057","0x0000","0x0000","P","0x1D73","0x0000","0x0001","0x03E7","0x480E","0x84C5"
0x571D780100,"0x2328","0x0057","0x0000","0x0000","P","0x1D78","0x0000","0x0001","0x03E7","0x480F","0x84D4"
0x571D790100,"0x2329","0x0057","0x0000","0x0000","P","0x1D79","0x0000","0x0001","0x03E7","0x4810","0x84D9"
0x571D7A0100,"0x232A","0x0057","0x0000","0x0000","P","0x1D7A","0x0000","0x0001","0x03E7","0x4811","0x84DC"
0x571D7B0100,"0x232B","0x0057","0x0000","0x0000","P","0x1D7B","0x0000","0x0001","0x03E7","0x4812","0x84DF"
0x571D7C0100,"0x232C","0x0057","0x0000","0x0000","P","0x1D7C","0x0000","0x0001","0x03E7","0x4813","0x84E2"
0x571D7D0100,"0x232D","0x0057","0x0000","0x0000","P","0x1D7D","0x0000","0x0001","0x03E7","0x4814","0x84E5"
0x571D7E0100,"0x232E","0x0057","0x0000","0x0000","P","0x1D7E","0x0000","0x0001","0x03E7","0x4815","0x84E8"
0x571D7F0100,"0x232F","0x0057","0x0000","0x0000","P","0x1D7F","0x0000","0x0001","0x03E7","0x4816","0x84EB"
0x571D800100,"0x2330","0x0057","0x0000","0x0000","P","0x1D80","0x0000","0x0001","0x03E7","0x4817","0x84ED"
0x571D810100,"0x2331","0x0057","0x0000","0x0000","P","0x1D81","0x0000","0x0001","0x03E7","0x4818","0x84F1"
0x571D820100,"0x2332","0x0057","0x0000","0x0000","P","0x1D82","0x0000","0x0001","0x03E7","0x4819","0x84F5"
0x571D830100,"0x2333","0x0057","0x0000","0x0000","P","0x1D83","0x0000","0x0001","0x03E7","0x481A","0x84F9"
0x571D840100,"0x2334","0x0057","0x0000","0x0000","P","0x1D84","0x0000","0x0001","0x03E7","0x481B","0x84FD"
